IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,DEU,Germany,Year,2019,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,10.73,,,10.56,,10.93,10.73 [10.56-10.93],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,NLD,Netherlands (Kingdom of the),Year,2019,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,10.74,,,10.39,,11.13,10.74 [10.39-11.13],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,NAM,Namibia,Year,2019,true,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,10.81,,,6.05,,17.66,10.81 [6.05-17.66],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,JPN,Japan,Year,2019,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,10.84,,,10.02,,11.55,10.84 [10.02-11.55],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,CUB,Cuba,Year,2019,true,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,10.86,,,7.46,,16.91,10.86 [7.46-16.91],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,NLD,Netherlands (Kingdom of the),Year,2019,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,10.88,,,10.53,,11.29,10.88 [10.53-11.29],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,SUR,Suriname,Year,2019,true,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,10.89,,,5.69,,17.35,10.89 [5.69-17.35],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,BRA,Brazil,Year,2019,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,10.94,,,9.37,,13.01,10.94 [9.37-13.01],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,ARG,Argentina,Year,2019,true,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,11.07,,,8.82,,13.4,11.07 [8.82-13.40],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,BEL,Belgium,Year,2019,true,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,11.08,,,10.51,,11.56,11.08 [10.51-11.56],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,JPN,Japan,Year,2019,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,11.1,,,10.41,,11.76,11.10 [10.41-11.76],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,GUY,Guyana,Year,2019,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,11.11,,,5.71,,18.35,11.11 [5.71-18.35],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,MUS,Mauritius,Year,2019,true,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,11.13,,,8.68,,13.85,11.13 [8.68-13.85],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,NLD,Netherlands (Kingdom of the),Year,2019,true,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,11.15,,,10.85,,11.45,11.15 [10.85-11.45],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,DEU,Germany,Year,2019,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,11.15,,,10.98,,11.36,11.15 [10.98-11.36],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,ARG,Argentina,Year,2019,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,11.23,,,8.67,,13.86,11.23 [8.67-13.86],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,AUT,Austria,Year,2019,true,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,11.24,,,10.93,,11.52,11.24 [10.93-11.52],,,EN,2022-08-11T22:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,GUY,Guyana,Year,2019,true,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,11.25,,,5.72,,18.87,11.25 [5.72-18.87],,,EN,2022-08-11T22:00:00.000Z
